feature_id	SRR14935704
SORBI_3001G000100	487
SORBI_3001G000200	1907.028
SORBI_3001G000400	4481.79680686098
SORBI_3001G000300	451
SORBI_3001G000501	82.791
SORBI_3001G000700	1060.88538297077
SORBI_3001G000800	3389.586
SORBI_3001G000900	2242
SORBI_3001G001000	541
SORBI_3001G001066	1606
SORBI_3001G001132	136
SORBI_3001G001200	1731.176
SORBI_3001G001300	1567.847
SORBI_3001G001400	4079.15192149943
SORBI_3001G001700	1755.095
SORBI_3001G001800	1825.5
SORBI_3001G001900	3257.73
SORBI_3001G002000	5065.654
SORBI_3001G002050	3217.164
SORBI_3001G002100	249.721
SORBI_3001G002200	4799
SORBI_3001G002300	1575.052
SORBI_3001G002400	1881.617
SORBI_3001G002500	1715.685
SORBI_3001G002600	1339.19645787898
SORBI_3001G002650	1805
SORBI_3001G002700	2009.176
SORBI_3001G002800	2833.44741943162
SORBI_3001G002900	753.82
SORBI_3001G003000	3544.831
SORBI_3001G003100	2215.221
SORBI_3001G003200	1521.579
SORBI_3001G003300	2882.928
SORBI_3001G003400	1138.5
SORBI_3001G003500	2268.148
SORBI_3001G003600	1481
SORBI_3001G003700	1294
SORBI_3001G003900	1600.672
SORBI_3001G004000	1521.926
SORBI_3001G004100	1778.85
SORBI_3001G004200	1585.711
SORBI_3001G004300	2451.303
SORBI_3001G004400	3551.002
SORBI_3001G004500	1514.457
SORBI_3001G004550	292
SORBI_3001G004600	3114.28
SORBI_3001G004700	2790.039
SORBI_3001G004800	753.831
SORBI_3001G004901	640
SORBI_3001G005000	390.883
SORBI_3001G005100	1750.664
SORBI_3001G005200	3454.24
SORBI_3001G005300	1780.902
SORBI_3001G005400	700
SORBI_3001G005500	776.81
SORBI_3001G005600	2300.92
SORBI_3001G005700	1079.068
SORBI_3001G005800	2426.937
ENSRNA049997130	6
SORBI_3001G005900	541.873
SORBI_3001G006000	1780.614
SORBI_3001G006101	1133.727
SORBI_3001G006201	943.064
SORBI_3001G006300	1105
SORBI_3001G006400	2204.712
SORBI_3001G006500	1180.998
SORBI_3001G006600	3214.5
SORBI_3001G006700	4932.757
SORBI_3001G006800	2144.82
SORBI_3001G006900	640.92
SORBI_3001G007000	1284.701
SORBI_3001G007100	2641.106
SORBI_3001G007200	4047.469
SORBI_3001G007300	161
SORBI_3001G007400	1336.916
SORBI_3001G007500	1726.053
SORBI_3001G007600	1458.259
SORBI_3001G007700	1638.224
SORBI_3001G007800	1813.634
SORBI_3001G007900	1294.433
SORBI_3001G008000	1387.592
SORBI_3001G008100	1121.622
SORBI_3001G008200	3292.756
SORBI_3001G008300	1301.815
SORBI_3001G008400	6784.571
SORBI_3001G008500	2175.476
SORBI_3001G008600	2694.45
SORBI_3001G008700	478.792560876914
SORBI_3001G008800	668.503
SORBI_3001G008900	963.177
SORBI_3001G009000	7367
SORBI_3001G009100	1423.66666666667
SORBI_3001G009200	1431.175
SORBI_3001G009300	1406.92957483181
SORBI_3001G009400	1868.287
SORBI_3001G009500	2271.217
SORBI_3001G009600	2647.071
SORBI_3001G009700	8754.91
SORBI_3001G009800	1845.486
SORBI_3001G009900	755.096
SORBI_3001G010000	1598.581
SORBI_3001G010100	970.517
SORBI_3001G010200	1246.68
SORBI_3001G010300	1655.745
SORBI_3001G010400	634.24
SORBI_3001G010500	2394
SORBI_3001G010600	1189.932
SORBI_3001G010700	1742.216
SORBI_3001G010800	745.427
SORBI_3001G010900	2222.155
SORBI_3001G011000	1426.414
SORBI_3001G011100	286
SORBI_3001G011200	1047.187
SORBI_3001G011300	731.672
SORBI_3001G011400	1754.06746955886
SORBI_3001G011600	1687.022
SORBI_3001G011700	1981.057
SORBI_3001G011800	161
ENSRNA049997137	4
ENSRNA049469069	19
SORBI_3001G012000	2281
SORBI_3001G012100	1080.16067331865
SORBI_3001G012200	1336.925
SORBI_3001G012300	2354.771
SORBI_3001G012400	729.053
SORBI_3001G012500	1102.30073379545
SORBI_3001G012600	1935.5920324254
SORBI_3001G012700	2651.522
SORBI_3001G012800	1885.14578231515
SORBI_3001G012900	2508.00922406246
SORBI_3001G013000	806.232695884533
SORBI_3001G013100	1238.074
SORBI_3001G013200	863.714
